id,proper,dist,con,comp,comp_primary,lum,temp,rad,lifetime
32612,,574.2956505999999,Mon,1,32612,135.2695359013038,11539.293048791755,2.938309787045929,300
33785,,577.3452944,Mon,1,33785,90.36494737223013,4146.627361302434,18.597988252987882,400
29090,,612.0076326,Mon,1,29090,67.6705957674191,4011.9265191185305,17.192936019126453,492
35450,,612.0076326,Mon,1,35450,64.0324324468947,4312.655017734137,14.473266171571716,512
33298,,622.5191014,Mon,1,33298,53.604345781614285,7865.81550424399,3.980782741644089,581
29424,,623.7094052,Mon,1,29424,54.80245321768504,11091.76122843408,2.0242071901135708,572
32092,,634.630255,Mon,1,32092,111.17317272815909,4006.862895775092,22.09260982311165,345
29556,,639.6077408,Mon,1,29556,155.8834467704389,12589.166447747953,2.6500986197536753,271
32312,,645.9405876,Mon,1,32312,66.31320218835525,10448.186070483605,2.5094248279170084,499
28524,,648.5090864,Mon,1,28524,81.80879579457473,3688.3287203964187,22.366433930030972,430
30620,,657.6612798,Mon,1,30620,73.99459543127244,9685.973620151606,3.084390972256059,462
32839,,658.9898923999999,Mon,1,32839,65.28298441586139,4011.9265191185305,16.88690448778157,505
34248,,664.358492,Mon,1,34248,131.2199899019203,12084.738084389697,2.638648267948412,307
33447,,665.7141792,Mon,1,33447,84.64474480976999,3973.4430478553036,19.602975719305213,419
30597,,676.7635518,Mon,1,30597,66.3743070401909,4582.952465348084,13.048640965593354,499
30794,,676.7635518,Mon,1,30794,1174.8975549395302,11796.170951366008,8.286552221190476,64
31091,,686.7367906,Mon,1,31091,142.82360800191825,4582.952465348084,19.141029017555464,288
34595,,688.1857709999999,Mon,1,34595,96.47171518961676,4392.823418542202,17.12255205432279,382
30647,,692.5689204,Mon,1,30647,236.59196974857585,3990.0800024736427,32.50070487612374,201
29632,,698.5011936,Mon,1,29632,146.28506869998537,11262.873108149148,3.2074330851335997,284
31048,,698.5011936,Mon,1,31048,268.65813772687,3995.099456836225,34.546240831752044,184
30618,,712.2270372,Mon,1,30618,71.51547046592816,3983.407818476451,17.928602738068378,473
30076,,734.6846024,Mon,1,30076,76.77149537690276,9056.739770549337,3.5934549834202705,450
34311,,734.6846024,Mon,1,34311,75.37025766884257,7480.983109420281,5.218415298846764,456
36894,,739.6826388,Mon,1,36894,139.05928754654443,3732.8621436080552,28.468991587659197,294
35651,,748.1651436,Mon,1,35651,213.4027442848975,7146.614357201202,9.621777108527215,216
31503,,753.3487878,Mon,1,31503,287.8723810835251,11278.722643126554,4.486794234739754,175
31653,,758.6045222,Mon,1,31653,164.8921573150831,3839.195017835037,29.307288562691483,260
34019,,762.1496638,Mon,1,34019,111.99535223848879,10002.18852270849,3.558491356374135,343
32753,,778.520337,Mon,1,32753,88.63392873279336,11326.5724601966,2.4686468784398614,406
28503,,784.1345652,Mon,1,28503,542.0008904016238,12066.238528971358,5.379131662948694,111
30420,,789.8306696,Mon,1,30420,104.71285480508995,11539.293048791755,2.585220444071119,360
38247,,827.9187602,Mon,1,38247,104.03991770513515,9185.287575794282,4.066965341364872,362
34028,,832.142724,Mon,1,34028,92.38468875379452,7117.822146571431,6.382072346488559,394
33723,,836.4103986,Mon,1,33723,112.2018454301964,8960.533830431375,4.4380094170496,343
33516,,838.5603828,Mon,1,33516,237.6840286624876,4612.184892561588,24.380497830399836,200
39251,,847.2728586,Mon,1,39251,103.08607400626256,4632.653902636227,15.914620065490785,364
30644,,849.4792754,Mon,1,30644,495.6784065941178,4336.381646428318,39.82914575629463,118
30502,,858.4210697999999,Mon,1,30502,146.01584968117868,8932.11144502297,5.095041443740747,284
32377,,858.4210697999999,Mon,1,32377,258.46396357698416,12967.157011004414,3.2163732994310363,189
30165,,862.9630786,Mon,1,30165,100.27669229965878,3661.5748210793963,25.125815195578813,372
28077,,869.8667753999999,Mon,1,28077,109.64781961431852,4704.648193540148,15.914818164627516,349
31286,,869.8667753999999,Mon,1,31286,131.82567385564073,3811.645570027968,26.584651171151386,305
30000,,872.1925814,Mon,1,30000,485.735673287854,13054.654352202664,4.350360350945134,120
37043,,876.8817064000001,Mon,1,37043,107.34949358052359,5560.987647706913,11.270732084040807,354
31072,,911.1731552000001,Mon,1,31072,142.0365124048011,10653.269912529171,3.5325647105792832,290
28825,,918.8731061999999,Mon,1,28825,122.3488805326814,3679.836394205649,27.478876135644608,322
31895,,918.8731061999999,Mon,1,31895,945.3660459579652,14436.413187767776,4.962921203244941,74
39484,,929.3447786,Mon,1,39484,115.1330474155817,10355.461805136052,3.366022733540245,337
31862,,934.670646,Mon,1,31862,177.99180203953358,12273.298957077628,2.9794311983317616,246
30522,,937.3562506,Mon,1,30522,211.25159662408515,4699.932256245115,22.1346567092291,218
30627,,937.3562506,Mon,1,30627,180.63420831699756,12589.166447747953,2.852738976853271,244
36438,,951.0204424000001,Mon,1,36438,121.78673848912592,5050.64469616304,14.553329143923824,323
39785,,951.0204424000001,Mon,1,39785,221.615432595972,9990.066504658438,5.017867951569044,211
33557,,956.5981362000001,Mon,1,33557,217.97164411399055,11674.715399215735,3.6438742615826727,213
30833,,979.5795786,Mon,1,30833,267.42376570889917,3735.773653017839,39.41802652402206,184
35205,,985.4984776,Mon,1,35205,242.32599240925487,3616.0516875996573,40.048543661423224,198
30993,,988.4848386,Mon,1,30993,272.14477464543666,11849.096003714354,3.9526244309456313,182
30278,,991.4894668,Mon,1,30278,191.24936418442084,12448.752521266335,3.001955986170421,234
34127,,991.4894668,Mon,1,34127,392.28346253952094,3774.0572260944014,46.77771730333504,140
39563,,1003.6922826,Mon,1,39563,260.8555011868904,10200.701560731035,5.221507470640974,187
30913,,1042.1724656000001,Mon,1,30913,380.8903764981352,3995.099456836225,41.1339860351679,143
28877,,1059.0908286,Mon,1,28877,652.8298441586143,11956.561440093128,6.0123379965759804,97
39750,,1059.0908286,Mon,1,39750,1655.0076287699912,4815.94093466545,59.00566148648533,50
30309,,1062.5407197999998,Mon,1,30309,252.1157630807412,12468.596093155134,3.4357446096679736,192
33642,,1076.567646,Mon,1,33642,395.5487350555621,11168.812960327412,5.363421777242494,139
30699,,1087.3332246,Mon,1,30699,915.3770083623526,13010.740358521576,6.01245676911357,76
33156,,1090.9700284,Mon,1,33156,377.3983525365862,4510.468346988966,32.12274929787203,144
31033,,1109.5239582,Mon,1,31033,222.43339984851107,11902.556652711703,3.5414039927108196,210
